"output_freq","GPS_reference","N31","N2_HS","N2_LS","N1_HS","NC1_LS","BW"
365,186880,1,11,2048,11,1048576,9
366,131072,1,11,2928,11,1048576,9
367,187904,1,11,2048,11,1048576,9
368,188416,1,11,2048,11,1048576,9
369,167936,1,11,2304,11,1048576,9
370,189440,1,11,2048,11,1048576,9
371,189952,1,11,2048,11,1048576,9
372,131072,1,11,2976,11,1048576,9
373,190976,1,11,2048,11,1048576,9
374,191488,1,11,2048,11,1048576,9
375,163840,1,11,2400,11,1048576,9
376,192512,1,11,2048,11,1048576,9
377,193024,1,11,2048,11,1048576,9
378,131072,1,11,3024,11,1048576,9
379,194048,1,11,2048,11,1048576,9
380,194560,1,11,2048,11,1048576,9
381,131072,1,11,3048,11,1048576,9
382,195584,1,11,2048,11,1048576,9
383,196096,1,11,2048,11,1048576,9
384,131072,1,11,3072,11,1048576,9
385,197120,1,11,2048,11,1048576,9
386,197632,1,11,2048,11,1048576,9
387,197632,1,11,2048,11,1048576,9
388,198656,1,11,2048,11,1048576,9
389,199168,1,11,2048,11,1048576,9
390,163840,1,11,2496,11,1048576,9
391,188416,1,11,2176,11,1048576,9
392,131072,1,11,3136,11,1048576,9
393,134144,1,11,3072,11,1048576,9
394,131072,1,11,3152,11,1048576,9
395,131072,1,11,3152,11,1048576,9
396,180224,1,11,2304,11,1048576,9
397,131072,1,11,3176,11,1048576,9
398,131072,1,11,3184,11,1048576,9
399,155648,1,11,2688,11,1048576,9
400,163840,1,11,2560,11,1048576,9
401,131072,1,11,3208,11,1048576,9
402,137216,1,11,3072,11,1048576,9
403,131072,1,11,3224,11,1048576,9
404,131072,1,11,3232,11,1048576,9
405,163840,1,11,2592,11,1048576,9
406,131072,1,11,3248,11,1048576,9
407,180224,1,11,2368,11,1048576,9
408,139264,1,11,3072,11,1048576,9
409,131072,1,11,3272,11,1048576,9
410,167936,1,11,2560,11,1048576,9
411,140288,1,11,3072,11,1048576,9
412,131072,1,11,3296,11,1048576,9
413,131072,1,11,3304,11,1048576,9
414,188416,1,11,2304,11,1048576,9
415,169984,1,11,2560,11,1048576,9
416,131072,1,11,3328,11,1048576,9
417,142336,1,11,3072,11,1048576,9
418,180224,1,11,2432,11,1048576,9
419,131072,1,11,3352,11,1048576,9
420,163840,1,11,2688,11,1048576,9
421,131072,1,11,3368,11,1048576,9
422,131072,1,11,3376,11,1048576,9
423,192512,1,11,2304,11,1048576,9
424,131072,1,11,3392,11,1048576,9
425,174080,1,11,2560,11,1048576,9
426,145408,1,11,3072,11,1048576,9
427,131072,1,11,3416,11,1048576,9
428,131072,1,11,3424,11,1048576,9
429,180224,1,11,2496,11,1048576,9
430,176128,1,11,2560,11,1048576,9
431,131072,1,11,3448,11,1048576,9
432,131072,1,11,3456,11,1048576,9
433,131072,1,11,3464,11,1048576,9
434,131072,1,11,3472,11,1048576,9
435,163840,1,11,2784,11,1048576,9
436,131072,1,11,3488,11,1048576,9
437,188416,1,11,2432,11,1048576,9
438,149504,1,11,3072,11,1048576,9
439,131072,1,11,3512,11,1048576,9
